,,Recensione,Esito
Yelp,788,I can't use this case because the smell is disgusting.,0
Yelp,789,NOT WHAT I WANTED.,0
Yelp,790,I own 2 of these cases and would order another.,1
Yelp,791,Great Phone.,1
Yelp,792,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
Yelp,793,"The internet access was fine, it the rare instance that it worked.",0
Yelp,794,Perfect for the PS3.,1
Yelp,795,"Five star Plus, plus.",1
Yelp,796,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
Yelp,797,$50 Down the drain.,0
Yelp,798,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0
Yelp,799,"Good , works fine.",1
Yelp,800,For the price this was a great deal.,1
Yelp,801,"Great price, too!",1
Yelp,802,"If there is a wind, it is completely useless.",0
Yelp,803,Yes it's shiny on front side - and I love it!,1
Yelp,804,Does Not Work.,0
Yelp,805,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
Yelp,806,The reception through this headset is excellent.,1
Yelp,807,2 thumbs up to this seller,1
Yelp,808,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
Yelp,809,Improper description.... I had to return it.,0
Yelp,810,#1 It Works - #2 It is Comfortable.,1
Yelp,811,Battery charge-life is quite long.,1
Yelp,812,The Jabra EarGels fit my ears very well.,1
Yelp,813,Battery has no life.,0
Yelp,814,I checked everywhere and there is no feature for it which is really disappointing.,0
Yelp,815,Product is exactly as described.,1
Yelp,816,Gets a signal when other Verizon phones won't.,1
Yelp,817,Doesn't do the job.,0
Yelp,818,I would recommend it.,1
Yelp,819,Plan on ordering from them again and again.,1
Yelp,820,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
Yelp,821,I have been very satisfied with this cell phone from day one.,1
Yelp,822,They keep getting better and better (this is my third one and I've had numerous Palms too).,1
Yelp,823,Awkward to use and unreliable.,0
Yelp,824,The shipping time was also very quick!,1
Yelp,825,Not as good as I had hoped.,0
Yelp,826,Good case!.,1
Yelp,827,Doesn't Work.,0
Yelp,828,Really good product.,1
Yelp,829,Unfortunately it did not work.,0
Yelp,830,All three broke within two months of use.,0
Yelp,831,dont buy it.,0
Yelp,832,"My father has the V265, and the battery is dying.",0
Yelp,833,"However, the ear pads come off easily and after only one week I lost one.",0
Yelp,834,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
Yelp,835,"Horrible, horrible protector.",0
Yelp,836,I don't like this Nokia either.,0
Yelp,837,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0
Yelp,838,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
Yelp,839,It would take too long to describe how bad my customer service experience has been with Amazon.,0
Yelp,840,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0
Yelp,841,Terrible.. My car will not accept this cassette.,0
Yelp,842,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0
Yelp,843,It's not what it says it is.,0
Yelp,844,Stay Away From the Q!.,0
Yelp,845,Used and dirty.,0
Yelp,846,Very unreliable service from T-mobile !,0
Yelp,847,Not good enough for the price.,0
Yelp,848,I bought two of them and neither will charge.,0
Yelp,849,It looks very nice.,1
Yelp,850,"This is an excellent tool, especially when paired with your phone's auto-answer.",1
Yelp,851,I have read other's reviews here but I haven't had any problem with it.,1
Yelp,852,These products cover up the important light sensor above the ear outlet.,0
Yelp,853,Comfortable in my hand.,1
Yelp,854,Just does not work.,0
Yelp,855,Poor Reliability.,0
Yelp,856,(It works!),1
Yelp,857,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
Yelp,858,"Terrible product, and waste of money!",0
Yelp,859,Last time buying from you.,0
Yelp,860,It was a waste of my money.,0
Yelp,861,So far it has worked like a charm.,1
Yelp,862,"I have only had it for a few weeks, but so far, so good.",1
Yelp,863,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
Yelp,864,Would recommend this item.,1
Yelp,865,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1
Yelp,866,"Nice case, feels good in your hands.",1
Yelp,867,The item received was Counterfeit.,0
Yelp,868,"Just really good.. So far, probably the best BT headset I have ever had.",1
Yelp,869,Works fine.,1
Yelp,870,I received my headset in good time and was happy with it.,1
Yelp,871,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
Yelp,872,My sister has one also and she loves it.,1
Yelp,873,Good Quality.,1
Yelp,874,This is by far the worst purchase I've made on Amazon.,0
Yelp,875,Excellent dual-purpose headset.,1
Yelp,876,Excellent!.,1
Yelp,877,Does not work for listening to music with the cingular 8125.,0
Yelp,878,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1
Yelp,879,"The bottowm line...another worthless, cheap gimmick from Sprint.",0
Yelp,880,Having trouble with volume.,0
Yelp,881,The only good thing was that it fits comfortably on small ears.,1
Yelp,882,WARNING - DO NOT BUY!!.,0
Yelp,883,"I am pairing this with my iphone, and I could not be happier with it so far.",1
Yelp,884,"When it opens, the battery connection is broken and the device is turned off.",0
Yelp,885,"I didn't want the clip going over the top of my ear, causing discomfort.",0
Yelp,886,Best headset ever!!!.,1
Yelp,887,Don't trust their website and don't expect any helpful support.,0
Yelp,888,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
Yelp,889,The speaker is of low quality so as making the ring tones sound very cheap.,0
Yelp,890,"Fits comfortably, came with three sizes of earbud tips.",1
Yelp,891,Excellent product for the price.,1
Yelp,892,Bad Reception.,0
Yelp,893,This product is very High quality Chinese CRAP!!!!!!,0
Yelp,894,It was quite comfortable in the ear.,1
Yelp,895,Great phone.,1
Yelp,896,Don't buy this product - It fails!.,0
Yelp,897,Everything about this product is wrong.First,0
Yelp,898,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
Yelp,899,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
Yelp,900,Terrible phone holder.,0
Yelp,901,The cutouts and buttons are placed perfectly.,1
Yelp,902,I love being able to use one headset for both by land-line and cell.,1
Yelp,903,Problem is that the ear loops are made of weak material and break easily.,0
Yelp,904,Not nearly as good looking as the AMAZON picture makes it look.,0
Yelp,905,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1
Yelp,906,How stupid is that?,0
Yelp,907,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
Yelp,908,Seller shipped quickly and much cheaper than the competitors.,1
Yelp,909,"Good show, Samsung.",1
Yelp,910,So I bought about 10 of these and saved alot of money.,1
Yelp,911,It always cuts out and makes a beep beep beep sound then says signal failed.,0
Yelp,912,Couldn't figure it out,0
Yelp,913,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
Yelp,914,So I had to take the battery out of the phone put it all back together and then restart it.,0
Yelp,915,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
Yelp,916,Leopard Print is wonderfully wild!.,1
Yelp,917,Works for me.,1
Yelp,918,"Saggy, floppy piece of junk.",0
Yelp,919,much better than the hard plastic cases.,1
Yelp,920,It also had a new problem.,0
Yelp,921,Happy so far!.,1
Yelp,922,cool phone.,1
Yelp,923,Works good.,1
Yelp,924,Motorola finally got the voice quality of a bluetooth headset right.,1
Yelp,925,It looses connection to the phone even when it is within a couple feet between the two.,0
Yelp,926,"but it is great, i would really recommend it",1
Yelp,927,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
Yelp,928,As I said above....PRETTY USELESS!,0
Yelp,929,Never got it!!!!!,0
Yelp,930,This pair of headphones is the worst that I have ever had sound-wise.,0
Yelp,931,[...] down the drain because of a weak snap!,0
Yelp,932,Does not charge the Cingular (ATT) 8525 phone.,0
Yelp,933,"You get extra minutes so that you can carry out the call and not get cut off.""",1
Yelp,934,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0
Yelp,935,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0
Yelp,936,The headset fulfills my requirements so I am happy with my purchase.,1
Yelp,937,Logitech Bluetooth Headset is a 10!.,1
Yelp,938,"I like the fact that it rests lightly against your ear, rather than inside.",1
Yelp,939,A lot of websites have been rating this a very good phone and so do I.,1
Yelp,940,I have tried these cables with my computer and my iPod and it works just fine.,1
Yelp,941,"The mic there is a joke, and the volume is quite low.",0
Yelp,942,I'm returning them.,0
Yelp,943,I does not maintain a connection with the computer while it is on my lap.,0
Yelp,944,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
Yelp,945,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
Yelp,946,"Otherwise, easy to install and use, clear sound.",1
Yelp,947,nice leather.,1
Yelp,948,I had to purchase a different case.,0
Yelp,949,It is a joy to use.,1
Yelp,950,Very much disappointed with this company.,0
Yelp,951,Very satisifed with that.,1
Yelp,952,It didn't charge for me.,0
Yelp,953,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
Yelp,954,Buttons are too small.,0
Yelp,955,Just reading on the specs alone makes you say WOW.,1
Yelp,956,Love it.. Great armband.,1
Yelp,957,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
Yelp,958,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
Yelp,959,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
Yelp,960,I was very impressed with the price of the cases.,1
Yelp,961,Also makes it easier to hold on to.,1
Yelp,962,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
Yelp,963,It's pretty easy.,1
Yelp,964,I cannot make calls at certain places.,0
Yelp,965,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0
Yelp,966,Beautiful styling though.,1
Yelp,967,This company charge me a restocking fee and still not given me my refund back.,0
Yelp,968,I'm trying to return it for a refund.,0
Yelp,969,I plugged it in only to find out not a darn thing worked.,0
Yelp,970,Excellent product.,1
Yelp,971,Earbud piece breaks easily.,0
Yelp,972,Lousy product.,0
Yelp,973,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
Yelp,974,It is the best charger I have seen on the market yet.,1
Yelp,975,SWEETEST PHONE!!!,1
Yelp,976,":-)Oh, the charger seems to work fine.",1
Yelp,977,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
Yelp,978,Not enough volume.,0
Yelp,979,Echo Problem....Very unsatisfactory,0
Yelp,980,you could only take 2 videos at a time and the quality was very poor.,0
Yelp,981,don't waste your money.,0
Yelp,982,I am going to have to be the first to negatively review this product.,0
Yelp,983,Adapter does not provide enough charging current.,0
Yelp,984,"There was so much hype over this phone that I assumed it was the best, my mistake.",0
Yelp,985,You also cannot take pictures with it in the case because the lense is covered.,0
Yelp,986,Phone falls out easily.,0
Yelp,987,"It didn't work, people can not hear me when I talk.",0
Yelp,988,The text messaging feature is really tricky to use.,0
Yelp,989,I'm really disappointed all I have now is a charger that doesn't work.,0
Yelp,990,Painful on the ear.,0
Yelp,991,Lasted one day and then blew up.,0
Yelp,992,disappointed.,0
Yelp,993,Kind of flops around.,0
Yelp,994,The screen does get smudged easily because it touches your ear and face.,0
Yelp,995,What a piece of junk.. I lose more calls on this phone.,0
Yelp,996,Item Does Not Match Picture.,0
Yelp,997,The only thing that disappoint me is the infra red port (irda).,0
Yelp,998,"You can not answer calls with the unit, never worked once!",0
IMDB,0,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0
IMDB,1,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0
IMDB,2,Very little music or anything to speak of.  ,0
IMDB,3,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1
IMDB,4,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0
IMDB,5,Wasted two hours.  ,0
IMDB,6,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1
IMDB,7,A bit predictable.  ,0
IMDB,8,Loved the casting of Jimmy Buffet as the science teacher.  ,1
IMDB,9,And those baby owls were adorable.  ,1
IMDB,10,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
IMDB,11,The Songs Were The Best And The Muppets Were So Hilarious.  ,1
IMDB,12,It Was So Cool.  ,1
IMDB,13,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1
IMDB,14,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0
IMDB,15,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1
IMDB,16,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1
IMDB,17,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1
IMDB,18," The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0
IMDB,19,This if the first movie I've given a 10 to in years.  ,1
IMDB,20,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1
IMDB,21,"Overall, the film is interesting and thought-provoking.  ",1
IMDB,22,"Plus, it was well-paced and suited its relatively short run time.  ",1
IMDB,23,Give this one a look.  ,1
IMDB,24,I gave it a 10  ,1
IMDB,25,The Wind and the Lion is well written and superbly acted.  ,1
IMDB,26,It is a true classic.  ,1
IMDB,27,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1
IMDB,28,Definitely worth checking out.  ,1
IMDB,29,The problem was the script.  ,0
IMDB,30,It was horrendous.  ,0
IMDB,31,There was NOTHING believable about it at all.  ,0
IMDB,32,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0
IMDB,33,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1
IMDB,34,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1
IMDB,35,The cast of veteran actors are more than just a nostalgia trip.  ,1
IMDB,36,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1
IMDB,37,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1
IMDB,38,I don't think you will be disappointed.  ,1
IMDB,39,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0
IMDB,40,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0
IMDB,41,"It was too predictable, even for a chick flick.  ",0
IMDB,42,Too politically correct.  ,0
IMDB,43,Very disappointing.  ,0
IMDB,44,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1
IMDB,45,"I love Lane, but I've never seen her in a movie this lousy.  ",0
IMDB,46,An hour and a half I wish I could bring back.  ,0
IMDB,47,But in terms of the writing it's very fresh and bold.  ,1
IMDB,48,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1
IMDB,49,The directing and the cinematography aren't quite as good.  ,0
IMDB,50,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0
IMDB,51,"), and sometimes it was so embarrassing that I had to look away.  ",0
IMDB,52,The directing seems too pretentious.  ,0
IMDB,53,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0
IMDB,54,And generally the lines and plot is weaker than the average episode.  ,0
IMDB,55,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0
IMDB,56,"Some applause should be given to the ""prelude"" however.  ",1
IMDB,57,I really liked that.  ,1
IMDB,58,A great film by a great director.  ,1
IMDB,59,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1
IMDB,60,The music in the film is really nice too.  ,1
IMDB,61,I'd advise anyone to go and see it.  ,1
IMDB,62,Brilliant!  ,1
IMDB,63,10/10  ,1
IMDB,64,I liked this movie way too much.  ,1
IMDB,65,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0
IMDB,66,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1
IMDB,67,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
IMDB,68,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0
IMDB,69,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0
IMDB,70,"This was a poor remake of ""My Best Friends Wedding"".  ",0
IMDB,71,"All in all, a great disappointment.  ",0
IMDB,72,"I cannot believe that the actors agreed to do this ""film"".  ",0
IMDB,73,I could not stand to even watch it for very long for fear of losing I.Q.  ,0
IMDB,74,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0
IMDB,75,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0
IMDB,76,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0
IMDB,77,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0
IMDB,78,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0
IMDB,79,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0
IMDB,80,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0
IMDB,81,"You can't relate with them, hell you barely can understand them.  ",0
IMDB,82,This is definitely a cult classic well worth viewing and sharing with others.  ,1
IMDB,83,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0
IMDB,84,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0
IMDB,85,"A truly, truly bad film.  ",0
IMDB,86,"The acting is terrible, and the writing is worse.  ",0
IMDB,87,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0
IMDB,88,I paid too much.  ,0
IMDB,89,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1
IMDB,90,It was so BORING!  ,0
IMDB,91,No plot whatsoever!  ,0
IMDB,92,"Again, no plot at all.  ",0
IMDB,93,Horrible!  ,0
IMDB,94,Worst hour and a half of my life!Oh my gosh!  ,0
IMDB,95,I had to walk out of the theatre for a few minutes just to get some relief!  ,0
IMDB,96,I hate movies like that.  ,0
IMDB,97,"Yeah, the movie pretty much sucked.  ",0
IMDB,98,THERE IS NO PLOT OR STORYLINE!!  ,0
IMDB,99,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0
IMDB,100,Awful.  ,0
IMDB,101,I don't think I've ever gone to a movie and disliked it as much.  ,0
IMDB,102,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0
IMDB,103,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0
IMDB,104,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0
IMDB,105,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0
IMDB,106,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1
IMDB,107,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0
IMDB,108,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0
IMDB,109,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0
IMDB,110,I certainly do not mean this distinction in a good way.  ,0
IMDB,111,I mean this in a terrible way.  ,0
IMDB,112,This film has no redeeming features.  ,0
IMDB,113,Everything is appalling.  ,0
IMDB,114,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0
IMDB,115,The story is beyond stupid.  ,0
IMDB,116,The script iswas there a script?  ,0
IMDB,117,The kids are annoying.  ,0
IMDB,118,The lead man is charisma-free.  ,0
IMDB,119,"Utterly without merit on any level, this is akin to torture.  ",0
IMDB,120,I'll even say it again  this is torture.  ,0
IMDB,121,Maybe there would be a reasonable explanation for this atrocity.  ,0
IMDB,122,Not a pleasant voyage of self-discovery.  ,0
IMDB,123,Highly unrecommended.  ,0
IMDB,124,"If this premise sound stupid, that's because it is.  ",0
IMDB,125,"Yes, it's that bad.  ",0
IMDB,126,Nothing at all to recommend.  ,0
IMDB,127,An excellent performance from Ms.  ,1
IMDB,128,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1
IMDB,129,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1
IMDB,130,"This movie suffered because of the writing, it needed more suspense.  ",0
IMDB,131,There were too many close ups.  ,0
IMDB,132,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
IMDB,133,But this movie is definitely a below average rent.  ,0
IMDB,134,"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
